Growth,Target,Condition
0.07347526359122086,-2.6508337946487292e-12,Wild-type
0.11312473683467167,-9.483012031591819e-12,Wild-type
0.12035433835460332,-9.041541540001193e-12,Wild-type
0.043784798420671595,-1.4813770848255905e-11,Wild-type
0.0854392760710215,-1.1885147008504191e-11,Wild-type
0.07152055449570399,-9.256784194555743e-12,Wild-type
0.042061157161776636,-1.2726111984220811e-11,Wild-type
0.05467392023956995,-1.002854539091274e-11,Wild-type
0.06473752183395572,-3.943461391371042e-12,Wild-type
0.016737748457297065,-7.87146893395597e-12,Wild-type
0.07257219592977135,-7.6627558888484e-12,Wild-type
0.030858410286476706,-2.9985365418508804e-11,Wild-type
0.06790273632726301,-6.127466687678542e-12,Wild-type
0.053058012799379016,-1.3268756449878145e-11,Wild-type
0.11489503699869073,4.871455739161029e-12,Wild-type
0.030631270272601877,-4.3670935540335893e-13,Wild-type
0.01481026374165435,6.7426401041667055e-12,Wild-type
0.068698934278861,-1.0806730651167829e-12,Wild-type
0.16908430240597858,-4.10912823606809e-14,Wild-type
0.13143998219970343,-4.348399331124114e-12,Wild-type
0.12749793195886833,7.680313914798657e-13,Wild-type
0.10714842050860565,-1.1473378841421704e-12,Wild-type
0.15621754655741213,5.974903238936981e-12,Wild-type
0.16136685931173003,7.703401129075905e-12,Wild-type
0.1559968392096839,6.11101486011936e-12,Wild-type
0.1770492132897611,1.7066242501318267e-12,Wild-type
0.17517699848623947,8.3084218937518e-12,Wild-type
0.10372888499872392,6.700780680357956e-12,Wild-type
0.12063883946905363,2.481325184457279e-13,Wild-type
0.1295578639253476,-1.0853684860480906e-11,Wild-type
0.14658467666227748,-1.6550748681509e-11,Wild-type
0.2062706560341343,-9.331141062324327e-12,Wild-type
0.1689770612932683,-4.813390302810822e-12,Wild-type
0.19524301803099808,-4.199260139036532e-12,Wild-type
0.1921690511051296,-6.198185198844587e-12,Wild-type
0.21732504174060177,-7.002427821047072e-12,Wild-type
0.049061337844549135,-1.1928326237561827e-12,Wild-type
0.04302429520296169,-7.118317896447757e-12,Wild-type
0.10078336241523535,-2.255280832940242e-12,Wild-type
0.11620140983373611,-2.2401943165696067e-12,Wild-type
0.08051215714670941,-4.516366363230219e-12,Wild-type
0.035459194707658265,-1.1341041198293204e-13,Wild-type
0.060857124494428615,6.893136505549487e-12,Wild-type
0.10097332575955235,-2.9729205621369987e-12,Wild-type
