target_flux,objective_flux,PFK,PFL,PGI,PGK,PGL,ACALD,AKGt2r,PGM,PIt2r,ALCD2x,ACALDt,ACKr,PPC,ACONTa,ACONTb,ATPM,PPCK,ACt2r,PPS,ADK1,AKGDH,ATPS4r,PTAr,PYK,BIOMASS_Ecoli_core_w_GAM,PYRt2,CO2t,RPE,CS,RPI,SUCCt2_2,CYTBD,D_LACt2,ENO,SUCCt3,ETOHt2r,SUCDi,SUCOAS,TALA,THD2,TKT1,TKT2,TPI,EX_ac_e,EX_acald_e,EX_akg_e,EX_co2_e,EX_etoh_e,EX_for_e,EX_fru_e,EX_fum_e,EX_glc__D_e,EX_gln__L_e,EX_glu__L_e,EX_h_e,EX_h2o_e,EX_lac__D_e,EX_mal__L_e,EX_nh4_e,EX_o2_e,EX_pi_e,EX_pyr_e,EX_succ_e,FBA,FBP,FORt2,FORt,FRD7,FRUpts2,FUM,FUMt2_2,G6PDH2r,GAPD,GLCpts,GLNS,GLNabc,GLUDy,GLUN,GLUSy,GLUt2r,GND,H2Ot,ICDHyr,ICL,LDH_D,MALS,MALt2_2,MDH,ME1,ME2,NADH16,NADTRHD,NH4t,O2t,PDH,PHA_A,PHA_B,PHA_C,EX_phb_c
9.0,9.0,66.35999999999999,0.0,4.0,-18.0,5.999999999999997,0.0,0.0,-18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.39,0.0,0.0,0.0,0.0,0.0,48.75,0.0,8.0,0.0,0.0,-24.0,4.0,0.0,-2.0,0.0,38.99999999999999,0.0,18.0,0.0,0.0,1000.0,0.0,2.0,0.0,2.0,2.0,8.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,-19.5,0.0,0.0,0.0,8.0,58.35999999999998,0.0,0.0,1000.0,0.0,0.0,0.0,6.0,18.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.999999999999997,-33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.99999999999999,2.9999999999999947,0.0,19.5,18.0,9.0,9.0,9.0,9.0
9.052631578947368,9.052631578947368,65.97842105263159,0.0,4.315789473684163,-18.105263157894683,5.684210526315799,0.0,0.0,-18.105263157894683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.39,0.0,0.0,0.0,0.0,0.0,48.15789473684208,0.0,8.105263157894736,0.0,0.0,-23.78947368421052,3.7894736842105203,0.0,-1.894736842105317,0.0,38.5263157894737,0.0,18.105263157894683,0.0,0.0,1000.0,0.0,1.894736842105317,0.0,1.894736842105317,1.894736842105317,8.105263157894797,0.0,0.0,0.0,23.78947368421052,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,0.0,32.84210526315792,0.0,0.0,0.0,-19.263157894736878,0.0,0.0,0.0,8.105263157894797,57.87315789473685,0.0,0.0,1000.0,0.0,0.0,0.0,5.684210526315837,18.105263157894683,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.684210526315799,-32.84210526315792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.5263157894737,2.31578947368423,0.0,19.263157894736878,18.105263157894736,9.052631578947368,9.052631578947368,9.052631578947368,9.052631578947368
9.105263157894736,9.105263157894736,65.59684210526315,0.0,4.631578947368439,-18.21052631578948,5.36842105263158,0.0,0.0,-18.21052631578948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.39,0.0,0.0,0.0,0.0,0.0,47.56578947368416,0.0,8.210526315789473,0.0,0.0,-23.57894736842104,3.5789473684210407,0.0,-1.7894736842105203,0.0,38.05263157894737,0.0,18.21052631578948,0.0,0.0,1000.0,0.0,1.7894736842105203,0.0,1.7894736842105203,1.7894736842105203,8.21052631578948,0.0,0.0,0.0,23.57894736842104,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,0.0,32.68421052631584,0.0,0.0,0.0,-19.026315789473642,0.0,0.0,0.0,8.21052631578948,57.38631578947366,0.0,0.0,1000.0,0.0,0.0,0.0,5.368421052631561,18.21052631578948,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.36842105263158,-32.68421052631584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.05263157894737,1.631578947368423,0.0,19.026315789473642,18.210526315789473,9.105263157894736,9.105263157894736,9.105263157894736,9.105263157894736
9.157894736842104,9.157894736842104,65.21526315789471,0.0,4.947368421052602,-18.315789473684163,5.05263157894736,0.0,0.0,-18.315789473684163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.39,0.0,0.0,0.0,0.0,0.0,46.973684210526244,0.0,8.315789473684209,0.0,0.0,-23.36842105263156,3.368421052631561,0.0,-1.6842105263158373,0.0,37.578947368421034,0.0,18.315789473684163,0.0,0.0,1000.0,0.0,1.6842105263158373,0.0,1.6842105263158373,1.6842105263158373,8.315789473684163,0.0,0.0,0.0,23.36842105263156,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,0.0,32.526315789473756,0.0,0.0,0.0,-18.78947368421052,0.0,0.0,0.0,8.315789473684163,56.899473684210506,0.0,0.0,1000.0,0.0,0.0,0.0,5.052631578947398,18.315789473684163,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.05263157894736,-32.52631578947364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.578947368421034,0.9473684210526159,0.0,18.78947368421052,18.31578947368421,9.157894736842104,9.157894736842104,9.157894736842104,9.157894736842104
9.210526315789474,9.210526315789474,64.83368421052633,0.0,5.263157894736878,-18.42105263157896,4.736842105263163,0.0,0.0,-18.42105263157896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.39,0.0,0.0,0.0,0.0,0.0,46.381578947368325,0.0,8.421052631578949,0.0,0.0,-23.15789473684208,3.1578947368420813,0.0,-1.5789473684210407,0.0,37.105263157894754,0.0,18.42105263157896,0.0,0.0,1000.0,0.0,1.5789473684210407,0.0,1.5789473684210407,1.5789473684210407,8.42105263157896,0.0,0.0,0.0,23.15789473684208,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,0.0,32.368421052631675,0.0,0.0,0.0,-18.5526315789474,0.0,0.0,0.0,8.42105263157896,56.41263157894737,0.0,0.0,1000.0,0.0,0.0,0.0,4.736842105263122,18.42105263157896,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.736842105263163,-32.36842105263156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.105263157894754,0.26315789473685136,0.0,18.5526315789474,18.42105263157895,9.210526315789474,9.210526315789474,9.210526315789474,9.210526315789474
9.263157894736842,9.263157894736842,64.24157894736832,0.0,5.578947368421041,-18.526315789473642,4.421052631578922,0.0,0.0,-18.526315789473642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.39,0.0,0.0,0.0,0.0,0.0,45.57894736842104,0.0,8.526315789473685,0.0,0.0,-22.9473684210526,2.9473684210526017,0.0,-1.4736842105263577,0.0,36.63157894736837,0.0,18.526315789473642,0.0,0.0,1000.0,0.0,1.4736842105263577,0.4210526315789984,1.4736842105263577,1.4736842105263577,8.526315789473642,0.0,0.0,0.0,22.9473684210526,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,0.0,32.210526315789366,0.0,0.0,0.0,-18.315789473684163,0.0,0.0,0.0,8.526315789473642,55.71526315789464,0.0,0.0,1000.0,0.0,0.0,0.0,4.421052631578959,18.526315789473642,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.421052631578922,-32.21052631578948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.63157894736837,0.0,0.0,18.315789473684163,18.526315789473685,9.263157894736842,9.263157894736842,9.263157894736842,9.263157894736842
9.31578947368421,9.31578947368421,63.51789473684202,0.0,5.894736842105317,-18.63157894736844,4.105263157894712,0.0,0.0,-18.63157894736844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.39,0.0,0.0,0.0,0.0,0.0,44.6447368421052,0.0,8.631578947368421,0.0,0.0,-22.736842105263122,2.736842105263122,0.0,-1.368421052631561,0.0,36.15789473684205,0.0,18.63157894736844,0.0,0.0,1000.0,0.0,1.368421052631561,1.105263157894786,1.368421052631561,1.368421052631561,8.631578947368439,0.0,0.0,0.0,22.736842105263122,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,0.0,32.052631578947285,0.0,0.0,0.0,-18.07894736842104,0.0,0.0,0.0,8.631578947368439,54.88631578947359,0.0,0.0,1000.0,0.0,0.0,0.0,4.105263157894683,18.63157894736844,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.105263157894712,-32.052631578947285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.15789473684205,0.0,0.0,18.07894736842104,18.63157894736842,9.31578947368421,9.31578947368421,9.31578947368421,9.31578947368421
9.368421052631579,9.368421052631579,62.7942105263157,0.0,6.21052631578948,-18.736842105263122,3.7894736842105035,0.0,0.0,-18.736842105263122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.39,0.0,0.0,0.0,0.0,0.0,43.710526315789366,0.0,8.736842105263158,0.0,0.0,-22.526315789473642,2.5263157894736423,0.0,-1.263157894736878,0.0,35.684210526315745,0.0,18.736842105263122,0.0,0.0,1000.0,0.0,1.263157894736878,1.7894736842105718,1.263157894736878,1.263157894736878,8.736842105263122,0.0,0.0,0.0,22.526315789473642,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,0.0,31.894736842105203,0.0,0.0,0.0,-17.84210526315792,0.0,0.0,0.0,8.736842105263122,54.057368421052544,0.0,0.0,1000.0,0.0,0.0,0.0,3.7894736842105203,18.736842105263122,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7894736842105035,-31.894736842105203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.684210526315745,0.0,0.0,17.84210526315792,18.736842105263158,9.368421052631579,9.368421052631579,9.368421052631579,9.368421052631579
9.421052631578947,9.421052631578947,62.07052631578941,0.0,6.526315789473756,-18.84210526315792,3.4736842105262986,0.0,0.0,-18.84210526315792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.39,0.0,0.0,0.0,0.0,0.0,42.77631578947353,0.0,8.842105263157894,0.0,0.0,-22.315789473684163,2.3157894736841627,0.0,-1.1578947368420813,0.0,35.21052631578944,0.0,18.84210526315792,0.0,0.0,1000.0,0.0,1.1578947368420813,2.4736842105263492,1.1578947368420813,1.1578947368420813,8.842105263157919,0.0,0.0,0.0,22.315789473684163,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,0.0,31.736842105263122,0.0,0.0,0.0,-17.605263157894683,0.0,0.0,0.0,8.842105263157919,53.228421052631504,0.0,0.0,1000.0,0.0,0.0,0.0,3.473684210526244,18.84210526315792,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4736842105262986,-31.736842105263122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.21052631578944,0.0,0.0,17.605263157894683,18.842105263157894,9.421052631578947,9.421052631578947,9.421052631578947,9.421052631578947
9.473684210526315,9.473684210526315,61.34684210526312,0.0,6.842105263157919,-18.9473684210526,3.1578947368420964,0.0,0.0,-18.9473684210526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.39,0.0,0.0,0.0,0.0,0.0,41.84210526315792,0.0,8.94736842105263,0.0,0.0,-22.105263157894683,2.105263157894683,0.0,-1.0526315789473983,0.0,34.736842105263136,0.0,18.9473684210526,0.0,0.0,1000.0,0.0,1.0526315789473983,3.157894736842122,1.0526315789473983,1.0526315789473983,8.947368421052602,0.0,0.0,0.0,22.105263157894683,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,0.0,31.57894736842104,0.0,0.0,0.0,-17.36842105263156,0.0,0.0,0.0,8.947368421052602,52.399473684210484,0.0,0.0,1000.0,0.0,0.0,0.0,3.1578947368420813,18.9473684210526,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1578947368420964,-31.57894736842104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.736842105263136,0.0,0.0,17.36842105263156,18.94736842105263,9.473684210526315,9.473684210526315,9.473684210526315,9.473684210526315
