Metric,Wild-type,KO_ACKr
Growth_mean,0.08777452298442888,0.08635136949567185
Growth_std,0.04090838807499175,0.0397402010374123
Growth_min,0.00747653264585443,0.007663652356762482
Growth_max,0.20307444932341517,0.22668100202271124
Target_mean,9.117058897099045e-12,0.06832511630308438
Target_std,1.4811399874156702e-11,0.06156928749919461
Target_min,-2.6309410482642157e-11,3.5852215320703984e-05
Target_max,3.657394215030983e-11,0.25610271453013694
