,p1k_00001,p1k_00002,p1k_00106,p1k_00107
b0054,371.56061382141826,391.6239575182075,306.35573697673556,297.6052428284148
b0055,56.93094455833223,51.88104137271577,49.78461502567894,46.40138027844798
b0056,43.88596117592395,41.340973364467935,38.7025313709289,41.325991752150166
b0057,57.77750458410536,34.03392912398989,34.02377923512188,43.434377653366745
b0058,47.10065733292431,49.88592498169003,31.527795921866986,32.59782997756648
b0059,70.87324482203161,79.29507109093971,52.16319975993055,50.58440509183517
b0060,16.637417406046342,18.75894719630229,13.408406838304938,13.256961361782022
b0061,3.6421843209555496,4.952951699230822,5.73707177785527,7.697714467321583
b0062,3.4470529451295553,5.1602467523592646,9.855701276366784,10.957564363476152
b0063,2.9656461849648785,3.793748770995792,7.101969787495729,6.4810220703896695
b0064,37.516741667940614,41.974312871038066,86.15831122401336,75.80457961085685
b0065,20.230957248574455,23.886251541944507,25.262614266012267,26.33657602025456
b0066,29.939289218239207,41.43331321700903,30.697998877070788,28.72887073718548
b0067,33.16961171827272,36.708397269789046,32.153132522230706,29.631531345362397
b0068,184.1484838604746,217.05379020437564,156.74139782883617,152.47238080027606
b0069,29.973517933765542,33.321499667760584,18.992227545711692,19.964085507347573
b0070,18.86637336661847,14.789153737191826,19.22864149966487,19.624794855501055
b0071,993.86199725848,1011.3616454640305,685.3062370664718,662.95337451757
b0072,929.9667017530926,1012.3461860673076,723.8180200389608,682.8428828956064
b0073,813.0084388431669,869.0697725224397,724.721227459493,642.0049764053409
b0074,613.774067619654,635.8314241104863,509.09748877051896,494.1928919181728
b0076,6.661061010427334,6.293418724684823,4.6181091438487805,5.932919862210741
b0077,280.6964105401172,296.49704516822504,211.88070501859505,212.78142494359096
b0078,217.7880013118871,218.07051390828735,191.8607728073455,198.9737783089821
b0080,158.19741942493442,151.56616027362546,206.82720905903497,216.5643353952227
b0081,215.52715580661354,215.69483603130635,167.27339820998063,188.35168545534842
b0082,164.62877680547064,176.77016032285763,133.0926710482471,118.20438994890128
b0083,159.4995577987071,146.55816774385033,102.09204551347386,105.23932149537997
b0084,104.31556483716686,91.3071614037917,68.65526246998321,82.36606892923379
b0085,129.30478054610907,150.2616014383268,119.66449704333733,119.30449385680441
b0086,127.46004252768817,140.32032693144464,104.06219842526379,106.2522444844174
b0087,91.458384004141,94.07105819282528,84.77526265643222,84.36843130348838
b0088,116.64111421728236,129.95021234310917,102.43480250544988,109.608808110249
b0089,77.67370018796782,86.38029299823114,78.87652995658884,82.88115207603302
b0090,88.97205322376989,100.5303977356188,99.1005576823221,98.40401784334792
b0091,117.54903522487288,134.02135321605977,115.25172398136868,132.48384437425673
b0092,144.76236778236589,156.6084060497318,139.02143561656126,143.1206094784115
b0093,139.0075218835114,147.87803725085953,152.50015681862556,148.4744335154803
b0094,125.42400274903633,132.29501588802933,144.86495747387727,156.11501447418277
b0095,590.4773269103327,641.0487625333775,673.2475059323112,648.3392441240126
b0096,843.2649363416698,829.2643418885275,864.4245022667101,925.4643085649752
b0097,469.2945122769461,479.77579355617524,289.7346311715631,290.82612266333314
b0098,201.47793229060326,200.73999603861606,182.04584954577905,185.28289652207874
b0099,20.28979321895838,25.37008544127255,23.856708737711216,22.389300294600456
b0101,119.20681366480449,97.0033669195575,107.07638173881962,103.84783879792221
b0102,116.49677267156358,124.03996871795786,102.26693589897019,97.29243822989909
b0103,100.06856765882921,119.0087152775896,88.50318310634475,91.27694873657084
b0104,469.5473529439647,460.74026110701817,379.2639539163383,359.2689721990042
b0106,5.3080003726757035,4.7423546346302,5.56775001329831,5.0789336040665924
b0107,6.307244695464708,6.052808783246688,6.021888505522451,7.107143608471791
b0108,2.137266721147873,1.5671520061229356,2.107584431748408,1.8345165184049725
b0109,110.76913654649235,133.89056656022768,85.5490186350582,85.25256363226073
b0110,54.3031967210154,56.73193166334144,34.84603460275389,45.44707542185493
b0111,29.156329770287616,34.93360005263809,27.564538191252304,26.96956842101039
b0112,636.3745283462605,663.7839886991372,411.76993512856825,413.12725781348587
b0113,234.1753567853576,260.2685354773854,173.55188168249688,186.37393586705764
b0114,1011.7880614487055,1054.6898673643036,904.6410941651853,873.1176895902536
b0115,641.7173262384565,687.2611182140121,675.9336052403632,646.5772175046218
b0116,1556.8718584780463,1822.1812071328263,1609.4399456264505,1495.2114844696794
b0117,3.6149773628906448,3.293386510563979,2.1196818350024658,2.6541791830147123
b0118,1580.8919816244643,1708.66849937745,2122.1530469813188,1907.1677500472651
b0119,120.2814210964869,158.09641859027934,86.44418909855456,83.12056346321938
b0120,402.8585602144658,421.63203096004037,346.4440906614906,354.51694278658675
b0121,400.7236737868826,425.6457431503476,351.27740920367984,346.9489669950682
b0122,186.43329968591792,181.39834120580107,105.21557911937995,97.23558156929086
b0123,174.53766263951633,187.9001717203658,148.3837110158747,150.40751147833654
b0124,132.37927761285167,159.16496046308157,30.110570756436957,31.424776003335293
b0125,268.1115501087431,268.34721775724887,233.170425555731,232.18438608305982
b0126,1530.8192895399131,1508.8518779922456,677.6764538222922,635.0928382072352
b0127,78.54760457687618,77.08647013471567,54.61300079625693,44.93499909649237
b0128,45.233922723533475,44.79428623563475,41.703727872205576,41.89130939330513
b0129,18.43808972200438,16.880256181337106,31.7354680009955,37.44055461709284
b0130,11.465627651549996,14.62409783462567,11.920512359709075,10.774020289165513
b0131,966.3334844827855,880.0096915390263,768.2812959532636,817.8602512557845
b0132,8.035184830036743,7.093586672035264,8.572786580754821,10.237903784570463
b0133,311.0253152431457,303.6614670660611,386.3955079604408,351.74376639171317
b0134,285.30809705158197,294.8446648667265,318.7962754599342,317.79191762794795
b0135,3.833528947840624,3.018676631751708,3.266793562808027,3.475260858884539
b0136,2.6801829949746323,1.8379029646606848,2.636330770099013,2.2329038000086134
b0137,3.4828446719824906,3.476376581968191,4.224057653649473,4.441347819870856
b0138,4.519541221059458,2.3163896568042563,2.928071321523372,3.5826090129182897
b0139,2.4156738170860486,2.1552611301903997,2.034043894821871,2.747088275465713
b0140,1.6768348498555568,1.0,1.3295848412663696,1.0
b0141,2.1430988580729085,1.4275453583229465,1.834948263817825,1.2096990221707995
b0142,90.16171089373078,85.93455764441767,62.30999011851386,73.32650347686989
b0143,350.06522807928206,422.50834463411184,344.36127524423904,342.69690731058023
b0144,39.05242920517487,36.07532310463465,47.368000697355214,44.670330420761175
b0145,1231.372952996222,1060.6936711237956,1008.9528407637279,1123.8968754319596
b0146,53.40621836127337,57.763468874429385,54.52107197142696,60.85791670131213
b0147,40.66940528248917,53.28372478332355,34.804790961422746,41.660285033341616
b0148,29.20702273293206,32.90755177324221,32.75895806318617,32.85483484781428
b0149,58.57261363896991,67.20375437028798,65.45158330678049,65.36146921166078
b0150,307.71688158973177,306.509166341217,202.66847002756808,233.11831509713284
b0151,68.45787337468074,83.1176404861524,48.89573996764777,49.42391901508336
b0152,45.84353726743184,54.33520381739275,30.46566158917602,35.14493174614258
b0153,20.39031156692142,25.847435626600685,17.256859553073355,18.692760185281276
b0154,214.5078439836112,205.62100587700832,195.55809981158205,189.0808702967191
b0155,29.33329683855154,34.59478244153555,32.17184224974585,32.4017650198915
b0156,398.8356774119673,346.8098394342351,370.51906015595404,287.23916569398006
b0157,21.36144841054234,24.648602646337082,28.005357929185074,30.292332198513442
b0158,28.758678731075193,29.102700542353645,24.781953363878802,25.044702531986758
b0159,368.8398909420998,376.34996054586327,246.79461425729346,241.25838010347368
b0160,38.44439439499415,39.39036239966834,31.00492193669131,28.71881248025469
b0161,146.8263245995814,156.86053533966958,107.94368926412197,106.7147956016469
b0162,7.7852985946924615,5.103770863508439,31.053270595525266,35.535147313629324
b0163,302.5255533355756,292.4765624442672,275.5135136516951,265.6840568391156
b0164,13.954768885238956,17.92038365411955,9.411102441652696,10.807878632847496
b0166,1298.505536518731,1421.6477215344178,829.579886140666,794.2914023554025
b0167,67.23334162838884,73.51716307526608,53.71840850109889,51.483098022821494
b0168,428.5135808301275,418.1713333849759,346.90488762167644,346.8016013577873
b0169,5536.763254875716,5996.157610310307,4346.2070508631505,4580.488716691344
b0170,1594.0984431363272,1615.8794646711035,1649.2143338730102,1584.6743366198768
b0171,379.10828863640023,400.9757498490487,328.3117951847155,330.49608804894257
b0172,1362.6934724463388,1500.7877376719618,1258.6576555667205,1224.221750315331
b0173,28.79320249463083,29.626251256300943,27.523732453896756,34.20497304491035
b0174,158.52487312926567,187.10847472751982,243.1391056723583,253.91435842199294
b0175,123.75322963343218,131.01265676606732,140.61663308583792,160.56189257256912
b0176,196.59726768887475,236.6950439126874,245.04186293841062,235.46768527503306
b0177,414.5822578347885,432.96842336860607,432.5297810252919,425.74524092422786
b0178,1187.0709083607978,1109.5301069009677,959.2964081821865,1022.0206570925155
b0179,767.803749368427,813.0173974005845,587.6335518769263,585.6739851200609
b0180,473.5717325543038,478.19125050996433,448.7410067974029,457.5299476652331
b0181,411.8473324108262,381.08457242549946,324.1535507642142,331.55104087827897
b0182,155.8108035845228,164.04213405887495,160.09524969628436,162.8569843687477
b0183,89.48963772957441,99.45359825894985,80.77112501963187,95.93359265900716
b0184,90.75689029071268,98.3024740317689,86.01855309379906,90.953836500633
b0185,433.5736130951982,463.4504289514818,398.62454181555404,397.39013040957303
b0186,35.80928138350576,35.21261072485219,19.014535023533497,19.441178744496227
b0187,56.29740724621705,60.00125950565367,45.14788948711028,45.351343247025696
b0188,45.65807402038294,53.75692498435896,44.711855577506554,45.00773711306798
b0189,174.0786153394906,170.6852078750082,107.30855991138142,107.31740442977458
b0190,44.478581542964015,49.556937155683634,48.63678043332133,54.6979282452454
b0191,51.5882047853969,69.58919155304963,35.352791612751496,37.83117938718444
b0192,61.428691180884805,66.07889795549295,39.64277964908679,35.33489691452035
b0193,5.863366049953223,7.063370538205919,5.58842023566876,7.245218158621555
b0194,430.66452751885396,429.7877023957599,449.59344087844215,427.9680699136047
b0195,91.43679895165327,91.43671313631177,68.7820553449294,72.73305969610787
b0196,232.57277687060997,211.5898417036479,198.18694843347876,187.88842877463154
b0197,1188.6618492898717,1181.0723429938157,1503.8953668324043,1399.4226480690515
b0198,226.46051894923744,234.28679089087862,298.2492421875854,264.1674636739824
b0199,276.5524532904804,284.0747990350743,289.4758388042855,246.82333671415972
b0200,99.39134112574114,130.83350073594752,94.06737782879118,94.28329954393408
b0207,36.348626067530404,43.61893377698526,41.39996873218735,33.194277162288266
b0208,31.512306801651143,33.801840620838206,22.085865597243025,20.03792108549431
b0209,151.6899702048016,166.18142868162755,90.63967040801244,84.77358138236255
b0210,18.68231045345262,18.636246048224113,11.763004968936498,11.222827345222804
b0211,443.73316431225277,478.59081697049095,611.1965035508385,658.0592517256355
b0212,77.73391289765117,78.74708752270747,61.24797818618483,55.359478753971736
b0213,56.03238381148457,57.73402723964285,39.339195985406896,35.95273747795163
b0214,94.59121901273846,95.05997888025504,60.22914250495738,61.81271650729408
b0215,155.3886183245614,158.17548628858222,118.10662693012027,110.26694146997772
b0217,5.041203498983339,5.7731686019091235,4.728585761971743,3.3411054989076625
b0218,1.0,1.73779951244829,3.5214698701053755,1.7237399890070715
b0219,38.945767033951235,36.035428986295905,27.29112385028684,30.117158048606374
b0220,290.9166390748409,300.1870415636658,128.77879130089116,132.47332382870562
b0221,36.2817813142674,42.42993213546641,79.0612597549441,68.68389735919982
b0222,342.5748186117202,334.0534038284528,362.06104726278124,339.7834389424358
b0223,130.51957512689944,148.20253090269017,101.01033139639434,105.46451693144509
b0224,267.8985424990942,278.11689948674064,213.25263770360417,233.76591497842202
b0225,126.83305976387052,148.91690228771353,111.73164683910962,135.10590716322602
b0226,154.08655819344517,136.11907628698944,158.2006042505347,167.85534289092254
b0227,6.572606933205128,10.337590633621142,4.907557876549946,3.9441742771552937
b0228,15.770765358466765,20.58724368314314,17.42861306422513,18.489656428801858
b0229,1.9759381664560165,2.1680748849472313,2.425699750723105,3.3632455508496726
b0230,3.653622349660059,2.6541933508657567,3.4228409456424016,2.622671007991502
b0231,21.4223378958005,23.263938703374148,21.00495717002452,25.395383440336406
b0232,32.27483482353621,29.924752314511355,31.7354680009955,29.373561606850668
b0233,13.15079707162075,18.55186208508631,14.46589494016549,8.686336352853358
b0234,13.547591763305103,6.521281120411526,8.008588907952168,6.68687084339921
b0235,1.626135610471418,1.9367566845230653,2.372035772125803,1.4594529147622688
b0236,2.334756152026321,1.4992296101815867,1.974939589440718,1.7345744197719075
b0237,300.72828234103815,304.12174164249234,261.13534730881327,240.71057698959427
b0238,236.28784817647184,226.59305099508524,288.3204320643644,276.0141004219655
b0239,73.24247057275286,77.74181630132084,52.98307418117195,58.740499517770054
b0241,3.05806505956637,4.315905765417729,3.659618582712143,3.6718753294314803
b0242,195.43552450557638,201.2724698538212,186.0471107711106,189.34448204556685
b0243,201.37388087147446,229.37366007368186,155.73259236361488,144.11958286811313
b0245,1.4888251691307286,2.462655174210908,1.357050244287209,1.3586956968093202
b0246,1.5257176351146753,1.0,1.0,1.0
b0247,1.7009568463800684,1.0,1.5119965775722115,1.5143560924858697
b0248,1.3642226757372626,1.0,1.2660374368240952,1.2672634597169445
b0249,1.0,1.0,2.0175931966487575,1.5111413673407323
b0250,42.437333590020216,41.61680907273619,61.79467051228344,51.327765407507776
b0251,7.777494917629416,6.633198980448923,8.700705275784127,10.670242084336422
b0252,2.423658705760379,2.2170999263286846,1.5942150054457578,1.7461917771440345
b0253,12.22261118494356,14.316256477049874,19.797207666898974,21.019703559080455
b0254,6.423006747384103,8.553779572408448,7.009946399851793,5.8026705646194054
b0256,8.110878634268342,12.506982506732237,4.815974489241598,4.833560253815136
b0258,18.3596917535946,21.733711428587256,15.065162515686698,15.344071882742258
b0259,144.83572465296623,151.01923426317475,335.51500261118537,310.27822212433506
b0260,29.934689837503324,32.17518240122703,37.18109144889607,30.96948529772438
b0261,42.57057262183307,51.934262167363734,66.57095714052433,59.77303951876025
b0262,3.874123918472078,3.388863752062957,3.2159622638262353,2.8746732095286727
b0263,2.9160826130361612,3.8666365027701395,2.7494438924383813,5.218014723622575
b0264,8.629164252549632,6.95509606663583,5.361113701838409,6.1114136716050895
b0265,18.565826199368367,14.593154063664542,19.582136649366962,14.778593381760937
b0266,53.39203099389093,56.58089662997847,39.26846210929027,40.49331591242661
b0267,1.868458223322801,2.515842634976983,1.6343438110548671,1.9559007388853697
b0268,4.86220282461526,5.127294303824036,19.807002982585033,19.488809861784777
b0269,5.3323620978920045,6.083618591192552,17.070526707608042,17.456258658673278
b0270,4.1429019572403325,5.882920417464479,5.679604291466268,4.902858163508662
b0271,7.745241164058884,6.744394344151893,10.095805111948364,8.081735143727727
b0272,113.33318317889398,123.25600382002874,128.5812498376508,119.63328497172658
b0273,438.82392364811545,517.6534688672369,910.3334311097152,835.4268388989905
b0274,4.980433521321408,4.970064042606706,7.783954645272907,6.841615624873523
b0275,7.662899592002206,11.87452325198432,12.5032274432139,12.111768857372782
b0276,11.962505442732219,10.908889356573022,13.678210321723434,13.569050020463672
b0277,13.79833170896742,10.972648917179331,9.179696513319284,7.847826931033728
b0278,6.261688948950475,5.651620102130026,4.144493999201723,4.158985274733492
b0279,1.9776511477953627,2.1701247317722556,2.428200978381732,3.439130735409411
b0280,427.09593127477365,447.3486290927884,357.36529109366666,357.61672530766793
b0281,67.94287985174809,57.23548960291884,44.057048342787226,38.563965147272896
b0282,8.321673341363368,5.2598497395499955,3.9710750283906027,2.4923835550012865
b0283,5.367246812964276,8.840565354676967,4.827936791135234,5.4865072979157254
b0284,7.3860706990256295,8.3930933447658,5.16477433983602,5.072395069970922
b0285,4.144417705560028,4.3975783198800755,3.2967620739056764,3.691904380531266
b0286,8.753192254078327,4.987325191624809,3.30064548909095,4.9113426375594225
b0287,311.16314682559045,338.9589639722762,137.40712707307486,141.4267405277657
b0288,20.75742457578924,17.674268988692955,19.50169448762624,12.895653644218681
b0289,12.28629251721083,11.905112626860673,10.27426711496761,10.66208154462238
b0290,7.914913710585593,7.08549963218424,5.753720042949563,5.775627374362872
b0291,3.1840383467806284,3.8714596235683327,2.933668782825353,2.6026285149733166
b0292,4.498497624216312,3.6170377322685843,4.468030626709691,2.833691003794699
b0293,19.764900893442682,31.626208346997295,16.57540607807029,21.65428383044112
b0294,2.980114138442419,1.8464095934848654,1.826471632591467,2.245420590530351
b0295,11.99856631302729,11.96991380996741,6.891329038177942,4.228261268362565
b0296,6.6992570869343915,6.6844098825865,6.087965984311093,8.43478352584267
b0297,1.3765274951303719,1.56331989864803,1.0,1.1381463157975673
b0298,1.0,1.0,1.0,1.0
b0299,1.7712950767595281,1.5769643249835221,1.281686698571889,1.848954519716695
b0300,15.84406213488128,11.193876237514223,10.95375004725906,12.071009526872249
b0301,4.095892740920562,5.631741386766127,4.289190130694768,3.8913047033036725
b0303,3.821575464523325,4.166002043244552,7.182844741855093,4.6232805786610385
b0304,10.32970391457713,11.75150828596813,6.617482809596869,7.753542048739797
b0305,5.497191557411789,5.973027591056617,5.713063229178457,6.308696307567036
b0306,6.340414976445572,7.947612075065097,17.111892283410505,17.52690420757779
b0307,12.47301427295599,12.034442709655565,20.496743613261344,18.954377445371726
b0308,13.970723032994522,12.858855094737992,19.421945810688662,18.80182003664019
b0310,2.499356125133503,1.747725066180974,2.0951675667265275,1.3667382011338738
b0311,26.812075196535496,28.840341388151202,19.196100976148376,20.60139965442746
b0312,53.8886930615646,52.279320111293934,38.968039457629516,41.47490093157853
b0313,84.87342062684289,98.83372109031532,56.24077356437409,56.07809017928674
b0314,34.534271805796486,37.398109302393536,29.456588521757805,27.65775627434429
b0315,10.057405205371127,12.71332944876254,27.463029697280493,26.233204686791563
b0316,14.259579196193622,18.961029286994908,16.836498627782703,15.989097328239136
b0317,2.3427968503404086,2.5067110526361094,2.716422260385883,2.4779991352160327
b0318,5.9656893438196645,6.778212027036015,3.8210504474120754,4.238915595490253
b0319,1.967466480618977,1.578967673570536,1.2826647770359996,1.5679348526117651
b0320,2.1879588425347603,2.131006617225067,2.3410142900585793,1.7924672365530177
