Growth,Target,Condition
0.11962338778519481,-5.50470353662213e-12,Wild-type
0.09193717231369347,-4.4213147232441974e-12,Wild-type
0.09905222162140462,-2.91389873151904e-12,Wild-type
0.051559790614637745,1.7852295409484552e-12,Wild-type
0.09735060816561028,-4.762930926569712e-12,Wild-type
0.06412529274852435,8.873519348488356e-12,Wild-type
0.19814669771656934,1.852303037722058e-11,Wild-type
0.14436512258531972,1.6666702303359034e-11,Wild-type
0.09703864373313374,1.5310108850582422e-11,Wild-type
0.060466589923145,1.52154171032446e-11,Wild-type
0.0905554805502129,1.7252440930554942e-11,Wild-type
0.06299253234006047,2.8165894973120207e-11,Wild-type
0.1520926219603451,3.063347078989957e-11,Wild-type
0.15814171922542672,2.887403095664892e-11,Wild-type
0.08476741697533559,2.4273917891364532e-11,Wild-type
0.14903488397161482,0.1462639896113937,KO (ACKr)
0.0939840466695158,0.11045404932821665,KO (ACKr)
0.05945065215566409,0.05057786772683487,KO (ACKr)
0.05499681900324843,0.10294835648846411,KO (ACKr)
0.10918009843944987,0.1121754789599287,KO (ACKr)
0.10936217734956215,0.10737202421632211,KO (ACKr)
0.10493621171211578,0.07055313285251252,KO (ACKr)
0.09093439958425388,0.08024621679065899,KO (ACKr)
0.15308649155642862,0.09854272656555213,KO (ACKr)
0.1396521168492531,0.09465241221229473,KO (ACKr)
0.13962523574578292,0.15760817396280105,KO (ACKr)
0.04919286057490105,0.25610271453013694,KO (ACKr)
0.06495083817286874,0.23215188046004137,KO (ACKr)
0.04273023756380987,0.2336489703340655,KO (ACKr)
0.15805157597653097,0.2166046471117839,KO (ACKr)
0.09195543462859244,0.20972843472982028,KO (ACKr)
0.09465577979332333,0.1758340578560623,KO (ACKr)
0.07269785098516618,0.19653698348411006,KO (ACKr)
0.14670600020701466,0.14517588796646078,KO (ACKr)
0.04767582678470938,0.15368473537942504,KO (ACKr)
0.04450063930437693,0.1294577607330419,KO (ACKr)
0.07237488936832252,0.1422943084918054,KO (ACKr)
0.0824856944496635,0.11973612278073358,KO (ACKr)
0.08739921824011333,0.13090193560640598,KO (ACKr)
0.11844757817843252,0.1166724032639734,KO (ACKr)
0.023500890225764376,0.0039297235382855095,KO (ACKr)
0.0503375551905759,0.004680382440957232,KO (ACKr)
0.11443179019459361,0.023649951828101496,KO (ACKr)
0.09524351280126371,3.5852215320703984e-05,KO (ACKr)
0.0994730625408043,0.000859674148627741,KO (ACKr)
0.07176187341355965,0.026945226862216023,KO (ACKr)
0.06057088130507919,0.04072913531313626,KO (ACKr)
0.1422975419583612,0.040178546933447586,KO (ACKr)
0.0919487109901349,0.04000157179187395,KO (ACKr)
0.0516870463563165,0.02906881020465787,KO (ACKr)
0.02653090537266423,0.04978413020012766,KO (ACKr)
0.044015383786320604,0.050147768724754176,KO (ACKr)
0.055416860526494534,0.05338305101147836,KO (ACKr)
0.03381638655712132,5.1962977234175324e-05,KO (ACKr)
0.08895773836278327,0.0011450634788751674,KO (ACKr)
0.14784058761022,0.019653134543631743,KO (ACKr)
0.135483607746031,0.02066692935209296,KO (ACKr)
0.17857090981265017,0.03167668226324542,KO (ACKr)
0.19513318979368624,0.01094180248951431,KO (ACKr)
0.22668100202271124,0.011657717464630768,KO (ACKr)
0.09085361992498632,0.03794533913505231,KO (ACKr)
0.10229366013495148,0.05667646537624588,KO (ACKr)
0.10538876199991473,0.05804756869215519,KO (ACKr)
0.12062526105244681,0.0634635334875489,KO (ACKr)
0.09256671008750594,0.10466734901877049,KO (ACKr)
0.07319290459871668,0.017872826118646164,KO (ACKr)
0.15250602153178622,0.02129408697518168,KO (ACKr)
0.05338920515749262,0.024751485468336748,KO (ACKr)
0.06055226034687531,0.03317161131345909,KO (ACKr)
0.11086806128324056,0.06029463470169492,KO (ACKr)
0.08515789649608982,0.06209152851652301,KO (ACKr)
0.0709584763228114,0.08450186419170183,KO (ACKr)
0.05383144298574646,0.14932471444426582,KO (ACKr)
0.07057105239650463,0.13329359502017632,KO (ACKr)
0.09749516520391102,0.15161091335406826,KO (ACKr)
0.11327066069534683,0.12875016592117372,KO (ACKr)
0.1160274411198187,0.13053811911116728,KO (ACKr)
0.04100722882737806,0.13070628285237235,KO (ACKr)
0.048421765673702044,0.11734187445167583,KO (ACKr)
0.13199189314887225,0.11321376336945357,KO (ACKr)
0.04807836084581154,0.10457197315940106,KO (ACKr)
0.05862110287794203,0.053182981286004335,KO (ACKr)
0.11226459160562659,0.06190498689573518,KO (ACKr)
0.04267377149082121,0.058914630159240124,KO (ACKr)
0.06423772434429273,0.030935204641684297,KO (ACKr)
0.06019469907387075,0.020999494517511572,KO (ACKr)
0.1128238885273062,0.008049787250774484,KO (ACKr)
0.11944284131019998,0.008860021352688966,KO (ACKr)
0.10605252070147865,0.03485055346019473,KO (ACKr)
0.08963466239065342,0.0770766990839106,KO (ACKr)
0.007663652356762482,0.00027853807637998095,KO (ACKr)
0.07449371831214203,0.00016957114028291675,KO (ACKr)
0.014003866939066198,0.001988878515185469,KO (ACKr)
0.018435003836569347,0.012192442753025811,KO (ACKr)
0.1080550137144434,0.05828939816493278,KO (ACKr)
0.047027834237331034,0.057357049059647454,KO (ACKr)
0.11177374024015585,0.0371151323470772,KO (ACKr)
0.03978909072077441,0.024020402378996705,KO (ACKr)
0.04951726129999225,0.018651569073200907,KO (ACKr)
0.04599625706649994,0.0023488794792149133,KO (ACKr)
0.11931478521668917,0.002863371652506869,KO (ACKr)
0.08395996354444718,0.01105546592373043,KO (ACKr)
