ko_flux,target_production,growth_rate,status
-112.39999999999976,0.0,0.0,optimal
-102.45438596491205,2.600160532049169,0.0,optimal
-92.50877192982435,5.2003210640982775,0.0,optimal
-82.56315789473663,7.800481596147252,0.0,optimal
-72.61754385964892,10.40064212819634,0.0,optimal
-62.67192982456122,11.958420279774348,0.0,optimal
-52.7263157894735,12.834685833526237,0.0,optimal
-42.7807017543858,13.710951387278392,0.0,optimal
-32.83508771929809,14.587216941030988,0.0,optimal
-22.889473684210373,15.443926271374512,0.0,optimal
-12.943859649122672,16.283218595010744,0.0,optimal
-2.998245614034957,17.122510918646835,0.0,optimal
6.947368421052758,16.78925161003724,0.0,optimal
16.892982456140473,15.949959286401638,0.0,optimal
26.83859649122816,15.110666962765567,0.0,optimal
36.784210526315874,14.239276605611352,0.0,optimal
46.72982456140359,13.363011051858726,0.0,optimal
56.675438596491304,12.48674549810648,0.0,optimal
66.62105263157902,11.610479944354065,0.0,optimal
76.56666666666673,0.0,0.0,optimal
