유전자,WT_최대성장,WT_최대생산,MOMA_성장,MOMA_생산,MOMA_성장감소율(%),KO_최대성장,KO_최대성장_감소율(%),KO_최대생산,KO_최대생산_변화율(%),상태
PGI,0.8769972144247876,17.13745454545053,0.7679778837546066,0.1,11.920955312775073,0.8696956584499651,0.8325631888821405,17.02943396229223,-0.6303187143214116,Success
PFK,0.8769972144247876,17.13745454545053,0.8719189497814355,0.1,3.0472671053161093e-07,0.8769972144247876,0.0,17.13745454545053,0.0,Success
